	Total	Votes
PA	5970107	2912941
WV	708226	486198
RI	411006	165810
MD	2474543	873646
DC	280272	11553
SC	2084444	1143611
CA	8919517	2965704
TN	2484691	1517402
OR	1808575	742506
AR	1121684	677904
KS	1147143	656009
IA	1542880	798923
WA	2035633	768190
DE	441535	185103
NE	805638	485819
GA	4029564	2068623
FL	9386750	4605515
KY	1923346	1202942
VA	3844759	1731155
NC	4629471	2339603
UT	801248	375006
MN	2911740	1321120
IN	2717840	1555020
CT	1528817	637919
NV	1122990	511319
MS	1162607	677782
VT	291268	95027
AL	2078165	1306925
AZ	1960053	972900
MA	3231531	1083069
SD	367151	227460
HI	428825	128815
ND	336968	216133
ID	688235	407199
OH	5325395	2771984
ME	736660	332591
MT	484319	273696
CO	2401267	1075770
LA	2027731	1178004
NM	788841	315875
IL	5374280	2118179
MO	2775098	1585753
NY	7042956	2637678
OK	1451056	947934
WY	248742	174248
TX	8883272	4677115
MI	4789450	2279210
WI	2944620	1409467
NH	729632	345379
NJ	3612425	1516915
